"13","15","18","19","20","21","23","24","38","39","40","43","44","45","46","48"
"11.95499"," 0.00000","11.94801"," 0.00000","11.96268","12.92456"," 0.00000","12.59351"," 0.00000","12.72317","12.05159","12.98835","12.55252"," 0.00000","13.66980"," 0.00000"
"11.98660","12.18581"," 0.00000"," 0.00000","12.14263"," 0.00000"," 0.00000","14.28884","12.28464","14.87824"," 0.00000"," 0.00000","13.45594","14.44311","12.84998"," 0.00000"
"14.13422","13.27570"," 0.00000"," 0.00000","12.90956","14.62478"," 0.00000","14.02696"," 0.00000","14.47353"," 0.00000"," 0.00000"," 0.00000","13.75747","13.80333"," 0.00000"
"13.66353","12.89811","14.17246","14.33011","14.11155","15.65843","13.62748"," 0.00000","12.57615","12.44290"," 0.00000","13.47443","13.31067","12.92185","13.86403"," 0.00000"
" 0.00000","13.79731"," 0.00000"," 0.00000"," 0.00000","13.16440"," 0.00000"," 0.00000","13.48488"," 0.00000"," 0.00000"," 0.00000","14.13922"," 0.00000"," 0.00000","13.56247"
"12.81009","12.57768","12.73201","14.47734","14.58181","14.29322","13.65657","14.39857","14.65186","13.27544","13.85834","14.49306","14.75902","14.06234","14.12486","13.09618"
" 0.00000"," 0.00000"," 0.00000","12.31373"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"
"13.82482","13.42302","13.48324","14.74499","14.83377","14.58923","13.89397","14.56129","14.93114","14.55465"," 0.00000","14.19481","14.13117","14.97062","14.78457","14.14077"
"14.49044","13.50454","13.32930","14.12044","15.25909","14.34310","14.75203","14.28694","13.80117","13.99823","14.43685","14.49490","14.44081","14.70601","14.14386","14.37971"
" 0.00000"," 0.00000"," 0.00000"," 0.00000","12.48319","12.33276"," 0.00000","12.39431","12.69941"," 0.00000","12.19918"," 0.00000","12.67858"," 0.00000","13.21348"," 0.00000"
"13.23827"," 0.00000"," 0.00000","12.30929"," 0.00000","13.58781","13.35212"," 0.00000","11.87113"," 0.00000","12.54443","13.53697"," 0.00000","13.11084","14.07663"," 0.00000"
"13.89918"," 0.00000"," 0.00000","13.52579","13.10684","12.28667","12.75778","13.09762"," 0.00000"," 0.00000"," 0.00000","13.38589","13.44622","13.36863"," 0.00000","12.20066"
"12.34511","11.96441"," 0.00000"," 0.00000","12.01782","12.30364"," 0.00000","12.19910","11.85407","11.93431"," 0.00000"," 0.00000"," 0.00000"," 0.00000","12.09299"," 0.00000"
" 0.00000"," 0.00000","14.58216","14.71279","13.77552","15.66441","14.57128"," 0.00000"," 0.00000","14.41730"," 0.00000","12.29053"," 0.00000","16.43732","11.96750","15.63825"
"13.95139","14.30292","13.33740","13.78766","13.81972","13.73497","14.05297","13.63300","13.08815","13.71985","13.45516","13.80135","14.02529","14.04854","13.34605","13.16834"
" 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","12.37122","12.13883","11.81829"," 0.00000"," 0.00000"," 0.00000"," 0.00000","12.43145"," 0.00000"," 0.00000"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13.66838","13.68614"," 0.00000","14.57514","14.37902","13.81418","14.23776","13.59165","14.47017","13.98559","12.97310","14.01041","14.11894","14.32240","14.34677","13.34069"
"13.72531","14.76801","12.96603","14.88240","15.38530","13.83200","14.39182","13.87125","14.73730","15.04561","14.67752","14.39319","15.42806","14.66284","14.02593","13.74809"
" 0.00000","12.71370","12.26495","12.93281","12.75878"," 0.00000","14.78799","12.94447"," 0.00000"," 0.00000"," 0.00000","13.36648","12.95321"," 0.00000","13.38877"," 0.00000"
"12.98467","14.58923","13.76808","14.13105","14.38097"," 0.00000","13.37028","11.81388","13.17443","14.03141","13.28834"," 0.00000","13.52505","13.02996","14.64776","13.88388"
" 0.00000","14.34827","13.19863","13.24971","13.56398","12.79653","14.27355","13.56481","14.16135","13.85755"," 0.00000","12.82911","14.42451","12.26151","12.94303","14.12384"
