"","61","63","65","66","68","69","71","72","86","87","88","91","92","93","94","96"
"Xkr4","6.087626","5.367727","6.272373","5.689729","5.447813","5.554128","5.776297","5.917825","6.550141","6.001512","6.101794","6.687624","6.377149","6.085262","6.127931","6.447746"
"Rp1","-0.4788477","-0.8404373","-0.6218039","-0.7536803","-0.4178613","-0.8799156","-0.7833807","-0.3232162","-0.7293871","-0.8532185","-0.7073963","-0.6641729","-0.7237956","-0.4589210","-0.4171886","-0.4640966"
"Sox17","3.451102","3.067460","3.353482","3.211187","3.211369","3.250705","3.314315","3.514996","2.983119","3.616739","3.248456","3.090999","3.429722","3.446286","3.617653","3.260643"
"Mrpl15","4.722439","5.665385","4.864301","5.721527","5.790993","5.206620","5.312097","5.243324","4.540269","4.843465","4.744484","4.597046","4.672422","4.583723","4.607391","4.549851"
"Gm37144","-1.5075385","-2.1486891","-1.9659047","-1.0897388","-0.6697367","-0.9576150","-2.1014295","-1.0102573","-1.3441618","-0.9361061","-0.7073963","-1.3424294","-2.2458180","-1.1017632","-1.7909242","-1.9340145"
"Lypla1","-0.74757478"," 0.22514549","-0.45673438"," 0.36900438"," 0.26087328","-0.37457347"," 0.21532382","-0.20659311","-0.12488661","-0.32048041","-0.39594035","-0.70998649"," 0.16556666","-0.64309967","-0.53241667"," 0.06128133"
"Gm37988","-0.05672575"," 0.15497499","-0.05145712"," 0.45798585"," 0.14830902"," 0.42349099"," 0.25091611","-0.04763063","-0.49858883"," 0.02453394","-0.70739630","-0.10948584","-0.52164002","-0.14892991"," 0.09093586","-0.25028361"
"Tcea1","5.006988","5.990287","5.112794","5.998638","5.954048","5.560239","5.546767","5.498701","5.269260","5.079349","5.126077","5.254993","5.045661","5.043935","5.066797","5.179849"
"Gm37277","0.65184531","0.25899103","0.31112720","0.36900438","0.10874750","0.07895296","0.91526498","0.30650111","0.84482025","0.37330031","0.30986829","0.65793980","0.27820337","0.28881019","0.88059529","0.67217337"
"Rgs20","5.002604","4.373656","5.092951","4.609987","4.435843","4.596433","4.736077","4.687385","4.538971","4.904289","4.633072","4.662557","4.396948","4.889816","5.093763","4.760210"
"Atp6v1h","7.355440","8.090999","7.546545","8.077477","8.101491","7.756777","7.656149","7.748643","7.355586","7.431388","7.381765","7.446127","7.446851","7.354089","7.294078","7.343066"
"Oprk1","0.5830459","0.8972832","0.8416573","1.4485242","1.2432709","1.5955914","0.1413914","0.3452287","1.1470433","1.1721192","0.2662794","1.0364798","1.6439971","1.1627911","0.9890316","0.6187729"
"Npbwr1"," 0.3266702"," 1.1345574"," 0.6376381"," 1.0221296"," 0.9393592"," 1.2773043"," 0.2153238"," 1.0551224","-0.1248866"," 1.0044438"," 1.0364868"," 0.6758632"," 1.5424026"," 1.4957966"," 1.1841451"," 0.7976186"
"Rb1cc1","6.376010","6.772105","6.720567","6.855798","6.833339","6.717686","6.569835","6.658237","6.980416","6.390759","6.304613","6.975248","6.741656","6.517942","6.523710","6.933509"
"St18","5.675417","5.474218","5.578854","5.700026","5.767367","5.577558","5.486457","5.413568","6.079692","5.586686","5.592172","5.795050","5.521415","5.515667","5.289887","5.509124"
"Gm42492"," 0.3544575","-0.1658048"," 0.4836000"," 0.8683003"," 0.6396397"," 0.8456204"," 0.3527095"," 0.2257803"," 1.0483070"," 0.6539535","-0.3275544"," 0.8278785"," 0.5415707"," 0.8030612"," 0.4356240"," 0.4759261"
"Pcmtd1","6.625893","6.566591","6.760947","6.669821","6.623907","6.736697","6.509583","6.628127","6.975146","6.703848","6.697668","7.060647","6.727260","6.776927","6.807917","6.946097"
"Gm26901","2.207843","2.087037","2.068592","2.015737","2.323489","2.067070","2.011413","1.936429","2.639862","2.132905","2.279485","2.530858","2.279701","2.457900","2.395504","2.651597"
"Sntg1","6.585428","6.037976","6.573197","6.192622","6.315072","6.182446","6.231412","6.692433","6.055836","6.658664","6.820478","6.232843","6.135034","6.527519","6.449260","5.995719"
"Rrs1","4.531776","4.575174","4.512559","4.575602","4.758582","4.562043","4.630252","4.654996","4.274590","4.534644","4.198309","4.348750","4.477799","4.363088","4.434071","4.367623"
"Adhfe1","3.431668","3.952896","3.680406","3.904132","3.891244","3.930279","3.952892","3.778205","3.649948","3.487539","3.642905","3.630740","3.605531","3.528527","3.580006","3.760271"
"X2610203C22Rik","-0.6340106","-0.9914229","-1.4183407","-1.2217386","-0.8924800","-1.6644481","-0.9350961","-0.5892341","-1.2694757","-1.7070122","-0.3959403","-1.2720166","-1.5895692","-0.6430997","-1.9420666","-1.0194265"
"X3110035E14Rik","4.397983","5.197090","4.627366","5.057163","5.106174","5.054131","4.799044","5.076400","4.274590","4.613263","4.593936","4.692579","5.020243","4.712452","4.717092","4.736904"
"Mybl1","1.635849","2.221859","1.941211","2.258014","2.206549","2.310231","1.647467","1.746959","1.723706","1.597458","1.535929","1.574474","1.542403","1.450487","1.834203","1.590769"
"Vcpip1","6.464335","6.885803","6.663413","6.960392","6.967599","6.864600","6.603351","6.802639","6.803325","6.444480","6.490120","6.826733","6.662584","6.538387","6.510125","6.739596"
"X1700034P13Rik","-0.6896756","-0.5203425","-0.9113317","-0.4813019","-1.4786709","-0.6052306","-0.8572450","-1.1115077","-1.8979931","-1.2178562","-0.3275544","-1.0204028","-0.4600946","-1.6410523","-0.9463751","-1.1066818"
"Sgk3","3.489202","4.011156","3.501310","3.797350","3.840823","4.068990","3.633687","3.860715","3.423872","3.380290","3.608410","3.550437","3.576454","3.553742","3.693333","3.583409"
"Mcmdc2","2.616353","2.636622","2.361791","2.738344","2.978800","2.838648","2.431537","2.530852","2.539572","2.287031","1.989004","2.653517","2.441641","2.305075","2.530818","2.324740"
"Snhg6","3.330366","3.926813","3.536016","3.859916","4.180767","3.518000","3.740835","3.738750","2.580528","3.287441","3.050682","3.012068","3.029437","2.912401","3.003779","2.697392"
"Tcf24","-1.3201639","-0.9139558","-1.1426775","-1.2217386","-0.8924800","-0.5440180","-1.7807933","-1.6072660","-0.6325941","-1.7070122","-0.5432798","-1.2720166","-1.1401673","-1.2940061","-1.4142017","-0.9371489"
"Ppp1r42","-0.5804139","-1.1600770","-0.3807812"," 0.1191006","-0.2034927","-0.5440180","-0.7833807","-0.2065931","-0.5865287","-0.7004924","-0.1998005","-0.7573028","-0.5216400","-0.4024068","-1.2085467","-1.1066818"
"Cops5","6.303468","7.155752","6.386804","7.130347","7.143388","6.812160","6.823958","6.865185","6.237672","6.367726","6.286999","6.251265","6.268285","6.236399","6.194559","6.164768"
"Cspp1","5.681600","5.329414","5.803029","5.572570","5.553810","5.718495","5.632753","5.696068","6.003147","5.892395","5.648433","5.970943","5.635061","5.903869","5.892041","5.940340"
"Arfgef1","6.861991","7.327076","6.980680","7.323286","7.276826","7.253918","7.071397","7.118138","7.462504","6.865150","6.901956","7.514643","7.322117","6.974580","6.900724","7.402041"
"Cpa6","-0.33876397","-0.25853165","-0.23991115","-0.18335302","-0.15453231","-0.80618792","-0.64611266","-0.09869645","-0.09233425","-0.70049243"," 0.54690551","-0.30655334","-0.52164002"," 0.10609125","-0.36285156","-1.19955591"
"Prex2","6.542664","6.863287","6.710293","6.844496","6.695341","6.688094","6.726189","6.709696","7.013975","6.467841","6.718539","7.067877","6.795878","6.566531","6.724106","7.108965"
"A830018L16Rik","6.675272","7.162195","6.815444","7.269755","7.247241","7.090110","6.767862","6.968802","6.735809","6.680564","6.689440","6.704912","6.757531","6.692687","6.611145","6.514598"
"Sulf1","2.331837","2.264138","2.498793","1.925007","2.340667","4.031778","2.052333","3.664129","2.042301","2.132905","3.292579","2.156270","2.840576","2.663810","2.442033","2.166274"
"Slco5a1","3.135931","2.522822","2.821728","2.518077","2.391008","2.791930","2.756508","2.555834","3.429487","2.491153","2.736122","3.149894","2.332830","3.055448","3.155754","3.220878"
"Ncoa2","6.437792","5.810103","6.449265","5.978100","5.843155","6.175638","6.137079","6.094447","6.868080","6.527058","6.521744","6.920391","6.819337","6.542891","6.566340","6.817577"
"Gm29570","-1.722933","-1.981287","-2.496527","-2.455762","-4.082188","-2.790715","-2.775632","-1.938295","-2.142666","-3.048678","-1.497454","-1.857214","-2.735848","-1.929650","-2.783197","-2.515849"
"Tram1","5.292925","5.677950","5.344424","5.772291","5.777653","5.632450","5.470506","5.544144","5.284059","5.308149","5.139729","5.237751","5.123109","5.217382","5.155566","5.090732"
"Lactb2","3.391997","3.797479","3.588921","3.686638","3.785443","3.667823","3.731416","3.597517","3.798382","3.467524","3.642905","3.811854","3.668887","3.528527","3.548455","3.823591"
"Eya1","4.299570","4.093187","4.371441","3.977452","4.199720","4.297293","4.335117","4.405293","4.502139","4.205440","4.224170","4.462830","4.363295","4.499103","4.369335","4.469175"
"Gm9947","-0.47884767","-0.84043730","-0.30862746","-0.75368031","-1.06271198","-0.13006180","-0.93509611","-1.76330700","-0.72938709","-0.37726390","-0.70739630","-0.10948584","-0.04422421","-0.93215107","-0.47365253","-0.20143899"
"Gm37412","-1.0780843","-0.8404373","-1.1426775","-1.7106449","-1.2557519","-1.1268203","-1.4034753","-1.7633070","-1.1984664","-1.2178562","-1.6561464","-1.0204028","-1.1401673","-1.0144660","-1.2085467","-1.7826378"
"Trpa1","-2.674878","-1.981287","-2.496527","-1.918973","-1.742443","-2.311163","-2.101429","-2.368630","-2.437483","-2.720141","-3.381853","-1.576982","-1.880697","-2.512116","-2.110917","-1.934015"
"Kcnb2","6.042430","5.159505","5.978203","5.389578","5.406604","5.543592","5.656171","5.955860","5.761310","5.915480","6.048913","5.829486","5.495436","5.986875","6.064907","5.701994"
"Terf1","3.741532","3.577066","3.715435","3.606188","3.785443","3.821096","3.477197","3.809701","3.900979","3.649087","3.536842","3.948991","3.644578","3.706091","3.859672","3.826538"
"Sbspon","1.6130246","1.0403875","1.4528156","1.2131792","1.2432709","0.9974585","0.9803248","1.4598756","2.0349523","1.5062234","1.6590099","2.1498722","2.0020610","1.4350625","1.5095219","1.8902270"
"X4930444P10Rik","3.183182","2.019531","3.098761","2.258014","2.139421","2.047316","2.335341","1.973983","3.406893","2.797275","2.880436","3.462822","3.082107","3.162352","2.934954","3.299342"
"Rpl7","7.406523","8.176084","7.386635","8.033819","8.116217","7.761710","7.711687","7.716000","7.048141","7.347906","7.397949","6.966400","6.948356","7.277240","7.307491","7.017792"
"Rdh10","4.160890","4.304437","4.113613","4.311791","4.161562","4.083610","4.305803","4.206664","4.438119","4.044523","3.892670","4.278639","4.309088","4.087788","4.011374","4.209546"
